count,borough,timeBucket
49781,Bronx,Issued Pandemic
8556,Bronx,Issued Prepandemic
33909,Brooklyn,Issued Pandemic
7997,Brooklyn,Issued Prepandemic
24215,Manhattan,Issued Pandemic
9119,Manhattan,Issued Prepandemic
22406,Queens,Issued Pandemic
6716,Queens,Issued Prepandemic
1995,Staten Island,Issued Pandemic
461,Staten Island,Issued Prepandemic
