borough,region,two_months_ago,three_months_ago,num_increase,percent_increase
Bronx,NYC,4745,3996,749,19
Outside NYC,Outside NYC,5328,4504,824,18
Manhattan,NYC,2495,2134,361,17
Staten Island,NYC,257,237,20,8
Queens,NYC,1934,1826,108,6
Brooklyn,NYC,2496,2911,-415,-14
