day,judgments
2023-09-25,1726
2023-09-18,1763
2023-09-11,1893
2023-09-04,1372
2023-08-28,1733
2023-08-21,1870
2023-08-14,1516
2023-08-07,1718
2023-07-31,1789
2023-07-24,1852
2023-07-17,1752
2023-07-10,1589
2023-07-03,926
2023-06-26,1154
2023-06-19,929
2023-06-12,1058
2023-06-05,1029
2023-05-29,970
2023-05-22,932
2023-05-15,968
2023-05-08,815
2023-05-01,816
2023-04-24,804
2023-04-17,777
2023-04-10,535
2023-04-03,536
2023-03-27,603
2023-03-20,584
2023-03-13,556
2023-03-06,539
2023-02-27,531
2023-02-20,339
2023-02-13,404
2023-02-06,490
2023-01-30,394
2023-01-23,389
2023-01-16,288
2023-01-09,367
2023-01-02,267
2022-12-26,96
2022-12-19,325
2022-12-12,301
2022-12-05,336
2022-11-28,310
2022-11-21,194
2022-11-14,295
2022-11-07,143
2022-10-31,260
2022-10-24,254
2022-10-17,216
2022-10-10,208
2022-10-03,191
2022-09-26,171
2022-09-19,144
2022-09-12,164
2022-09-05,137
2022-08-29,140
2022-08-22,158
2022-08-15,119
2022-08-08,105
2022-08-01,124
2022-07-25,98
2022-07-18,99
2022-07-11,83
2022-07-04,71
2022-06-27,63
2022-06-20,66
2022-06-13,90
2022-06-06,74
2022-05-30,54
2022-05-23,65
2022-05-16,74
2022-05-09,67
2022-05-02,59
2022-04-25,52
2022-04-18,48
2022-04-11,38
2022-04-04,36
2022-03-28,36
2022-03-21,36
2022-03-14,34
2022-03-07,24
2022-02-28,29
2022-02-21,11
2022-02-14,16
2022-02-07,16
2022-01-31,25
2022-01-24,13
2022-01-17,7
2022-01-10,13
2022-01-03,8
2021-12-27,1
2021-12-20,9
2021-12-13,11
2021-12-06,6
2021-11-29,9
2021-11-22,2
2021-11-15,6
2021-11-08,3
2021-11-01,5
2021-10-25,4
2021-10-18,9
2021-10-11,7
2021-10-04,1
2021-09-27,1
2021-09-20,5
2021-09-13,2
2021-09-06,10
2021-08-30,6
2021-08-23,3
2021-08-16,1
2021-08-09,6
2021-08-02,6
2021-07-26,4
2021-07-19,3
2021-07-05,1
2021-06-21,3
2021-06-14,1
2021-06-07,2
2021-05-17,3
2021-05-10,2
2021-05-03,1
2021-04-26,1
2021-04-19,2
2021-04-12,1
2021-04-05,1
2020-12-21,2
2020-12-07,1
2020-11-23,1
