zipcode,region,borough,two_months_ago,three_months_ago,num_increase,percent_increase
10462,NYC,Bronx,334,1,333,33300
10039,NYC,Manhattan,125,1,124,12400
11230,NYC,Brooklyn,64,1,63,6300
11375,NYC,Queens,41,1,40,4000
11421,NYC,Queens,28,1,27,2700
13202,Outside NYC,Outside NYC,42,2,40,2000
11428,NYC,Queens,9,1,8,800
11703,Outside NYC,Outside NYC,9,1,8,800
14227,Outside NYC,Outside NYC,58,7,51,729
10463,NYC,Bronx,90,12,78,650
