day,judgments
2023-09-25,855
2023-09-18,973
2023-09-11,1061
2023-09-04,769
2023-08-28,1029
2023-08-21,1027
2023-08-14,798
2023-08-07,1016
2023-07-31,1009
2023-07-24,1017
2023-07-17,1033
2023-07-10,892
2023-07-03,525
2023-06-26,726
2023-06-19,545
2023-06-12,628
2023-06-05,667
2023-05-29,687
2023-05-22,682
2023-05-15,700
2023-05-08,607
2023-05-01,594
2023-04-24,643
2023-04-17,589
2023-04-10,368
2023-04-03,371
2023-03-27,453
2023-03-20,448
2023-03-13,393
2023-03-06,428
2023-02-27,398
2023-02-20,223
2023-02-13,297
2023-02-06,379
2023-01-30,312
2023-01-23,310
2023-01-16,222
2023-01-09,291
2023-01-02,203
2022-12-26,77
2022-12-19,258
2022-12-12,235
2022-12-05,279
2022-11-28,241
2022-11-21,155
2022-11-14,230
2022-11-07,104
2022-10-31,181
2022-10-24,202
2022-10-17,166
2022-10-10,141
2022-10-03,133
2022-09-26,114
2022-09-19,82
2022-09-12,122
2022-09-05,79
2022-08-29,80
2022-08-22,74
2022-08-15,58
2022-08-08,60
2022-08-01,70
2022-07-25,50
2022-07-18,47
2022-07-11,47
2022-07-04,36
2022-06-27,29
2022-06-20,27
2022-06-13,36
2022-06-06,37
2022-05-30,26
2022-05-23,28
2022-05-16,31
2022-05-09,34
2022-05-02,24
2022-04-25,25
2022-04-18,17
2022-04-11,10
2022-04-04,20
2022-03-28,13
2022-03-21,12
2022-03-14,14
2022-03-07,10
2022-02-28,13
2022-02-21,3
2022-02-14,4
2022-01-31,6
2022-01-24,8
2022-01-17,2
2022-01-10,6
2022-01-03,3
2021-12-20,5
2021-12-13,2
2021-12-06,3
2021-11-29,2
2021-11-15,2
2021-11-08,2
2021-11-01,3
2021-10-25,2
2021-10-18,2
2021-10-11,6
2021-10-04,1
2021-09-27,1
2021-09-20,4
2021-09-13,3
2021-09-06,1
2021-08-30,3
2021-08-23,2
2021-08-09,2
2021-08-02,1
2021-07-19,1
2021-06-21,1
2021-05-17,1
