count,borough,timeBucket
58598,Bronx,Issued Pandemic
4008,Bronx,Issued Prepandemic
40661,Brooklyn,Issued Pandemic
3742,Brooklyn,Issued Prepandemic
29195,Manhattan,Issued Pandemic
5885,Manhattan,Issued Prepandemic
20163,Queens,Issued Pandemic
2658,Queens,Issued Prepandemic
2475,Staten Island,Issued Pandemic
175,Staten Island,Issued Prepandemic
