zipcode,region,borough,two_months_ago,three_months_ago,num_increase,percent_increase
10472,NYC,Bronx,139,1,138,13800
10027,NYC,Manhattan,95,1,94,9400
10032,NYC,Manhattan,173,2,171,8550
10801,Outside NYC,Outside NYC,86,1,85,8500
11230,NYC,Brooklyn,59,1,58,5800
11211,NYC,Brooklyn,31,1,30,3000
14779,Outside NYC,Outside NYC,17,1,16,1600
11418,NYC,Queens,17,1,16,1600
11422,NYC,Queens,15,1,14,1400
12304,Outside NYC,Outside NYC,65,8,57,712
