borough,region,two_months_ago,three_months_ago,num_increase,percent_increase
Queens,NYC,1784,1934,-150,-8
Outside NYC,Outside NYC,4665,5328,-663,-12
Staten Island,NYC,219,257,-38,-15
Bronx,NYC,3738,4751,-1013,-21
Manhattan,NYC,1963,2498,-535,-21
Brooklyn,NYC,1732,3268,-1536,-47
