count,borough,timeBucket
51302,Bronx,Issued Pandemic
8509,Bronx,Issued Prepandemic
33326,Brooklyn,Issued Pandemic
7954,Brooklyn,Issued Prepandemic
24330,Manhattan,Issued Pandemic
9095,Manhattan,Issued Prepandemic
22325,Queens,Issued Pandemic
6700,Queens,Issued Prepandemic
2018,Staten Island,Issued Pandemic
460,Staten Island,Issued Prepandemic
