zipcode,filings_since_032320,unitsres_total,unitsrental,filingsrate_2plus
00000,90,,,
01042,1,,,
10001,960,23099,23073,41
10002,1481,36923,36916,40
10003,716,34095,34034,21
10004,79,4187,4187,18
10005,310,6135,6135,50
10006,99,3219,3219,30
10007,80,4594,4566,17
10009,1003,33863,33856,29
10010,377,20031,20026,18
10011,895,34353,34201,26
10012,359,15228,15209,23
10013,370,19934,19893,18
10014,581,22878,22611,25
10016,1055,46027,45976,22
10017,296,13729,13706,21
10018,444,7536,7536,58
10019,1649,39075,39070,42
10021,585,30836,30641,19
10022,540,27891,27837,19
10023,879,44070,43992,19
10024,881,37150,37016,23
10025,2248,48257,48193,46
10026,2443,15392,15373,158
10027,2482,28683,28593,86
10028,704,30517,30376,23
10029,2569,35142,35120,73
10030,2766,32236,32101,86
10031,3976,22149,22030,180
10032,3698,22489,22455,164
10033,2967,20323,20314,146
10034,2716,15812,15803,171
10035,2195,17744,17721,123
10036,1549,36921,36915,41
10037,1839,11084,11077,166
10038,443,14930,14927,29
10039,2556,11733,11732,217
10040,2722,16083,16081,169
10041,1,,,
10044,245,11951,11951,20
10055,1,0,0,
10065,563,22961,22750,24
10069,82,4726,4726,17
10075,344,18291,18196,18
10112,1,,,
10126,1,,,
10128,881,35856,35627,24
10162,26,,,
10176,1,0,0,
10280,209,4873,4873,42
10282,61,3476,3476,17
10301,1192,16430,12460,95
10302,332,6403,4073,81
10303,733,8456,5171,141
10304,1292,16063,9894,130
10305,375,15383,8819,42
10306,615,21631,9971,61
10307,65,5445,3191,20
10308,132,10487,4681,28
10309,147,12576,7406,19
10310,426,8897,5138,82
10312,218,22584,9297,23
10314,570,32556,19792,28
10362,1,,,
10373,1,,,
10402,1,,,
10411,1,,,
10450,1,,,
10451,4859,21375,21328,227
10452,8590,28291,28221,304
10453,9491,33545,33386,284
10454,2716,15600,15395,176
10455,3347,17360,17224,194
10456,8483,33063,32778,258
10457,8427,29899,29584,284
10458,8320,29560,29338,283
10459,4758,19164,18817,252
10460,6162,23840,23607,261
10461,1548,20297,18125,85
10462,5777,32348,31662,182
10463,3287,31371,30624,107
10464,60,2172,1319,45
10465,474,16083,12289,38
10466,3220,23746,20972,153
10467,8866,47999,47433,186
10468,8315,26547,26335,315
10469,2281,22403,18118,125
10470,722,6621,5936,121
10471,519,10220,8953,57
10472,3447,22272,21915,157
10473,2237,22742,21415,104
10474,1034,4071,4066,254
10475,736,17516,17352,42
10476,3,,,
10542,1,,,
10546,1,,,
11001,23,1443,456,50
11003,2,,,
11004,95,5006,2768,34
11005,1,1844,1844,0
11021,3,,,
11026,1,,,
11027,1,,,
11040,7,975,452,15
11042,3,,,
11096,1,0,,
11101,1065,31449,30974,34
11102,645,17021,16852,38
11103,561,17287,16908,33
11104,852,13138,12728,66
11105,955,16710,15771,60
11106,720,19949,19762,36
11109,196,3352,3352,58
11111,4,,,
11167,1,,,
11201,819,41563,40872,20
11202,8,,,
11203,3551,27575,23738,149
11204,784,29574,27516,28
11205,909,18613,18470,49
11206,1817,35607,35499,51
11207,4698,34090,31966,146
11208,3628,30304,28525,127
11209,1368,32769,29807,45
11210,2996,23331,18202,164
11211,1133,30426,30224,37
11212,5295,33193,31611,167
11213,4029,26637,25920,155
11214,1771,33308,32250,54
11215,470,33236,32317,14
11216,2187,26950,26550,82
11217,685,21878,21611,31
11218,1165,27071,25691,45
11219,870,29025,28595,30
11220,1116,29506,28897,38
11221,3332,35004,34626,96
11222,546,21911,21712,25
11223,1446,29056,26525,54
11224,1596,21290,20068,79
11225,4132,25017,23741,174
11226,7670,40532,39402,194
11228,260,15794,13381,19
11229,1247,31521,25316,49
11230,2505,32306,29066,86
11231,366,18201,17872,20
11232,361,9332,9211,39
11233,3801,29472,29274,129
11234,856,31072,20488,41
11235,2126,36418,34337,61
11236,1741,31007,28072,62
11237,981,17449,17343,56
11238,1719,30015,29698,57
11239,1329,10059,9752,136
11242,4,,,
11249,836,17824,17781,47
11332,1,,,
11335,1,,,
11347,5,,,
11354,1098,60509,58471,18
11355,1732,31886,29501,58
11356,244,8406,7012,34
11357,224,15989,9324,24
11358,367,13941,8585,42
11360,201,9159,7677,26
11361,290,11158,7295,39
11362,67,7001,4300,15
11363,89,2768,1130,78
11364,376,13920,9428,39
11365,1279,16834,12291,104
11366,109,8061,5353,20
11367,640,14651,11230,56
11368,5298,30498,29927,177
11369,383,10700,8682,44
11370,232,9435,8264,28
11371,1,0,0,
11372,1902,24863,24302,78
11373,2484,34441,32996,75
11374,1547,20592,18793,82
11375,1512,34453,29781,50
11377,1478,38680,36967,39
11378,293,13630,11149,26
11379,332,15135,10796,30
11381,1,,,
11382,1,,,
11383,1,,,
11384,1,,,
11385,1235,37861,35291,34
11386,5,,,
11405,1,,,
11410,1,,,
11411,187,5995,1412,132
11412,590,11348,5400,109
11413,628,12402,5995,104
11414,177,10696,7190,24
11415,891,9195,8581,103
11416,295,7157,6393,46
11417,410,9536,7200,56
11418,712,11518,9866,72
11419,509,12164,8973,56
11420,470,13357,8461,55
11421,572,12198,9652,59
11422,426,9626,5871,72
11423,810,10091,6660,121
11424,9,,,
11425,3,,,
11426,118,6395,2909,40
11427,492,7734,4504,109
11428,281,5702,2489,112
11429,319,7155,3055,104
11430,1,0,0,
11431,2,,,
11432,2801,20700,17071,164
11433,866,10800,7832,110
11434,2535,21579,15628,162
11435,2188,20528,18267,119
11436,257,6227,3434,74
11442,3,,,
11443,1,,,
11459,1,,,
11461,2,,,
11462,1,,,
11472,1,,,
11474,1,,,
11478,1,,,
11479,3,,,
11488,2,,,
11538,1,,,
11563,1,,,
11580,1,,,
11581,1,,,
11619,1,,,
11691,3769,21260,18956,198
11692,913,8124,7728,118
11693,263,4691,3710,70
11694,498,9426,7554,65
11697,1,2838,2837,0
11699,1,,,
11708,1,,,
11732,1,,,
11791,1,,,
11962,2,,,
12035,2,,,
12205,1,,,
12226,1,,,
12231,1,,,
12249,1,,,
14413,1,,,
19451,1,,,
20027,1,,,
20467,1,,,
