week_eviction,marshalevictions
2017-01-02,442
2017-01-09,434
2017-01-16,399
2017-01-23,379
2017-01-30,414
2017-02-06,202
2017-02-13,406
2017-02-20,354
2017-02-27,399
2017-03-06,423
2017-03-13,299
2017-03-20,423
2017-03-27,319
2017-04-03,412
2017-04-10,314
2017-04-17,400
2017-04-24,397
2017-05-01,430
2017-05-08,403
2017-05-15,381
2017-05-22,361
2017-05-29,244
2017-06-05,367
2017-06-12,398
2017-06-19,367
2017-06-26,355
2017-07-03,239
2017-07-10,323
2017-07-17,378
2017-07-24,331
2017-07-31,348
2017-08-07,347
2017-08-14,425
2017-08-21,371
2017-08-28,301
2017-09-04,298
2017-09-11,404
2017-09-18,350
2017-09-25,368
2017-10-02,364
2017-10-09,327
2017-10-16,406
2017-10-23,389
2017-10-30,366
2017-11-06,212
2017-11-13,392
2017-11-20,280
2017-11-27,417
2017-12-04,387
2017-12-11,424
2017-12-18,176
2018-01-01,146
2018-01-08,610
2018-01-15,361
2018-01-22,441
2018-01-29,405
2018-02-05,388
2018-02-12,310
2018-02-19,362
2018-02-26,354
2018-03-05,342
2018-03-12,407
2018-03-19,306
2018-03-26,357
2018-04-02,314
2018-04-09,376
2018-04-16,399
2018-04-23,370
2018-04-30,400
2018-05-07,404
2018-05-14,392
2018-05-21,389
2018-05-28,310
2018-06-04,320
2018-06-11,371
2018-06-18,354
2018-06-25,345
2018-07-02,234
2018-07-09,324
2018-07-16,403
2018-07-23,382
2018-07-30,310
2018-08-06,354
2018-08-13,360
2018-08-20,349
2018-08-27,334
2018-09-03,284
2018-09-10,319
2018-09-17,357
2018-09-24,300
2018-10-01,301
2018-10-08,286
2018-10-15,322
2018-10-22,323
2018-10-29,319
2018-11-05,247
2018-11-12,240
2018-11-19,225
2018-11-26,330
2018-12-03,322
2018-12-10,361
2018-12-17,256
2018-12-31,251
2019-01-07,443
2019-01-14,377
2019-01-21,297
2019-01-28,335
2019-02-04,364
2019-02-11,303
2019-02-18,290
2019-02-25,358
2019-03-04,304
2019-03-11,316
2019-03-18,359
2019-03-25,287
2019-04-01,299
2019-04-08,340
2019-04-15,310
2019-04-22,277
2019-04-29,334
2019-05-06,309
2019-05-13,363
2019-05-20,283
2019-05-27,257
2019-06-03,321
2019-06-10,345
2019-06-17,318
2019-06-24,286
2019-07-01,181
2019-07-08,358
2019-07-15,303
2019-07-22,328
2019-07-29,256
2019-08-05,265
2019-08-12,309
2019-08-19,299
2019-08-26,261
2019-09-02,245
2019-09-09,251
2019-09-16,286
2019-09-23,298
2019-09-30,273
2019-10-07,211
2019-10-14,205
2019-10-21,263
2019-10-28,245
2019-11-04,201
2019-11-11,177
2019-11-18,298
2019-11-25,171
2019-12-02,290
2019-12-09,238
2019-12-16,207
2019-12-30,117
2020-01-06,364
2020-01-13,247
2020-01-20,260
2020-01-27,264
2020-02-03,200
2020-02-10,247
2020-02-17,238
2020-02-24,244
2020-03-02,234
2020-03-09,232
2020-11-16,1
2020-11-23,1
2020-11-30,2
2020-12-07,3
2020-12-14,1
2021-04-05,1
2021-04-26,1
2021-05-03,1
2021-05-17,1
2021-05-24,2
2021-05-31,1
2021-06-07,1
2021-06-21,4
2021-06-28,5
2021-07-05,5
2021-07-12,8
2021-07-19,1
2021-07-26,7
2021-08-02,8
2021-08-09,6
2021-08-16,4
2021-08-23,5
2021-08-30,9
2021-10-18,4
2021-10-25,6
2021-11-01,3
2021-11-08,7
2021-11-15,8
2021-11-22,4
2021-12-06,8
2021-12-13,8
2021-12-20,3
2021-12-27,3
2022-01-03,36
2022-01-10,26
2022-01-17,10
2022-01-24,13
2022-01-31,25
2022-02-07,37
2022-02-14,35
2022-02-21,25
2022-02-28,35
2022-03-07,34
2022-03-14,27
2022-03-21,57
2022-03-28,50
2022-04-04,59
2022-04-11,46
2022-04-18,49
2022-04-25,47
2022-05-02,58
2022-05-09,61
2022-05-16,70
2022-05-23,74
2022-05-30,72
2022-06-06,53
2022-06-13,53
2022-06-20,75
2022-06-27,60
2022-07-04,75
2022-07-11,58
2022-07-18,77
2022-07-25,75
2022-08-01,73
2022-08-08,83
2022-08-15,91
2022-08-22,73
2022-08-29,66
2022-09-05,86
2022-09-12,64
2022-09-19,93
2022-09-26,104
2022-10-03,137
2022-10-10,115
2022-10-17,115
