count,borough,timeBucket
51404,Bronx,Issued Pandemic
4063,Bronx,Issued Prepandemic
39842,Brooklyn,Issued Pandemic
3804,Brooklyn,Issued Prepandemic
24118,Manhattan,Issued Pandemic
5978,Manhattan,Issued Prepandemic
18755,Queens,Issued Pandemic
2697,Queens,Issued Prepandemic
2032,Staten Island,Issued Pandemic
177,Staten Island,Issued Prepandemic
