day,judgments
2024-11-04,1267
2024-10-28,1826
2024-10-21,1910
2024-10-14,1566
2024-10-07,1737
2024-09-30,1776
2024-09-23,1915
2024-09-16,1582
2024-09-09,1684
2024-09-02,1379
2024-08-26,1416
2024-08-19,1754
2024-08-12,1478
2024-08-05,1634
2024-07-29,1678
2024-07-22,1738
2024-07-15,1594
2024-07-08,1556
2024-07-01,1215
2024-06-24,1457
2024-06-17,1524
2024-06-10,1841
2024-06-03,1833
2024-05-27,1329
2024-05-20,1736
2024-05-13,1620
2024-05-06,1801
2024-04-29,1678
2024-04-22,1486
2024-04-15,1916
2024-04-08,1830
2024-04-01,1767
2024-03-25,1683
2024-03-18,1575
2024-03-11,1789
2024-03-04,1816
2024-02-26,1691
2024-02-19,1329
2024-02-12,1314
2024-02-05,1637
2024-01-29,1711
2024-01-22,1809
2024-01-15,1421
2024-01-08,1661
2024-01-01,1313
2023-12-25,403
2023-12-18,1468
2023-12-11,1655
2023-12-04,1655
2023-11-27,1782
2023-11-20,972
2023-11-13,1837
2023-11-06,1079
2023-10-30,1847
2023-10-23,1871
2023-10-16,1675
2023-10-09,1330
2023-10-02,1728
2023-09-25,1540
2023-09-18,1528
2023-09-11,1609
2023-09-04,1213
2023-08-28,1527
2023-08-21,1652
2023-08-14,1346
2023-08-07,1506
2023-07-31,1574
2023-07-24,1658
2023-07-17,1572
2023-07-10,1431
2023-07-03,1110
2023-06-26,1455
2023-06-19,1219
2023-06-12,1422
2023-06-05,1456
2023-05-29,1408
2023-05-22,1547
2023-05-15,1695
2023-05-08,1452
2023-05-01,1585
2023-04-24,1619
2023-04-17,1590
2023-04-10,1250
2023-04-03,1305
2023-03-27,1436
2023-03-20,1404
2023-03-13,1371
2023-03-06,1443
2023-02-27,1425
2023-02-20,1101
2023-02-13,1124
2023-02-06,1369
2023-01-30,1413
2023-01-23,1377
2023-01-16,1130
2023-01-09,1293
2023-01-02,1156
2022-12-26,353
2022-12-19,1265
2022-12-12,1444
2022-12-05,1436
2022-11-28,1306
2022-11-21,914
2022-11-14,1283
2022-11-07,748
2022-10-31,1379
2022-10-24,1471
2022-10-17,1312
2022-10-10,1130
2022-10-03,1116
2022-09-26,1084
2022-09-19,1106
2022-09-12,1265
2022-09-05,958
2022-08-29,1122
2022-08-22,1080
2022-08-15,937
2022-08-08,925
2022-08-01,1054
2022-07-25,906
2022-07-18,860
2022-07-11,907
2022-07-04,681
2022-06-27,834
2022-06-20,821
2022-06-13,894
2022-06-06,984
2022-05-30,699
2022-05-23,813
2022-05-16,854
2022-05-09,936
2022-05-02,829
2022-04-25,850
2022-04-18,673
2022-04-11,690
2022-04-04,748
2022-03-28,714
2022-03-21,677
2022-03-14,714
2022-03-07,613
2022-02-28,752
2022-02-21,377
2022-02-14,480
2022-02-07,431
2022-01-31,457
2022-01-24,434
2022-01-17,292
2022-01-10,238
2022-01-03,177
2021-12-27,12
2021-12-20,152
2021-12-13,200
2021-12-06,239
2021-11-29,208
2021-11-22,71
2021-11-15,184
2021-11-08,116
2021-11-01,144
2021-10-25,168
2021-10-18,165
2021-10-11,91
2021-10-04,109
2021-09-27,91
2021-09-20,88
2021-09-13,77
2021-09-06,48
2021-08-30,191
2021-08-23,142
2021-08-16,182
2021-08-09,112
2021-08-02,107
2021-07-26,104
2021-07-19,81
2021-07-12,114
2021-07-05,71
2021-06-28,54
2021-06-21,128
2021-06-14,93
2021-06-07,98
2021-05-31,83
2021-05-24,87
2021-05-17,97
2021-05-10,59
2021-05-03,78
2021-04-26,75
2021-04-19,67
2021-04-12,66
2021-04-05,52
2021-03-29,56
2021-03-22,37
2021-03-15,33
2021-03-08,23
2021-03-01,16
2021-02-22,9
2021-02-15,3
2021-02-08,3
2021-02-01,4
2021-01-25,7
2021-01-18,2
2021-01-11,5
2021-01-04,2
2020-12-28,12
2020-12-21,80
2020-12-14,64
2020-12-07,85
2020-11-30,63
2020-11-23,23
2020-11-16,91
2020-11-09,26
2020-11-02,34
2020-10-26,31
2020-10-19,8
2020-10-12,6
2020-10-05,2
2020-09-28,4
2020-09-14,1
2020-09-07,4
2020-08-17,1
2020-07-27,4
