borough,region,two_months_ago,three_months_ago,num_increase,percent_increase
Staten Island,NYC,275,227,48,21
Manhattan,NYC,2074,1999,75,4
Bronx,NYC,3644,3531,113,3
Outside NYC,Outside NYC,4041,4964,-923,-19
Queens,NYC,1416,1815,-399,-22
Brooklyn,NYC,2080,2902,-822,-28
