day,rep_rate
2022-01-17,61.6
2022-01-24,66.4
2022-01-31,63.8
2022-02-07,62.0
2022-02-14,55.1
2022-02-21,52.3
2022-02-28,52.3
2022-03-07,52.7
2022-03-14,46.0
2022-03-21,43.3
2022-03-28,48.1
2022-04-04,50.7
2022-04-11,50.7
2022-04-18,50.0
2022-04-25,50.3
2022-05-02,55.8
2022-05-09,54.9
2022-05-16,50.7
2022-05-23,47.5
2022-05-30,52.1
2022-06-06,50.2
2022-06-13,45.2
2022-06-20,46.5
2022-06-27,46.9
2022-07-04,47.8
2022-07-11,47.4
2022-07-18,43.8
2022-07-25,45.4
2022-08-01,48.0
2022-08-08,44.0
2022-08-15,45.0
2022-08-22,47.1
2022-08-29,43.9
2022-09-05,49.6
2022-09-12,41.5
2022-09-19,39.4
2022-09-26,42.6
2022-10-03,49.5
2022-10-10,43.0
2022-10-17,44.1
2022-10-24,43.9
2022-10-31,47.3
2022-11-07,43.4
2022-11-14,43.6
2022-11-21,45.9
2022-11-28,43.8
2022-12-05,44.6
2022-12-12,41.2
2022-12-19,45.0
2022-12-26,43.6
2023-01-02,48.6
2023-01-09,42.2
2023-01-16,45.0
2023-01-23,41.0
2023-01-30,45.4
2023-02-06,42.2
2023-02-13,40.3
2023-02-20,37.6
2023-02-27,37.5
2023-03-06,39.1
2023-03-13,33.8
2023-03-20,32.4
2023-03-27,33.1
2023-04-03,40.0
2023-04-10,35.7
2023-04-17,34.8
2023-04-24,35.2
2023-05-01,38.2
2023-05-08,37.7
2023-05-15,36.1
2023-05-22,33.9
2023-05-29,37.3
2023-06-05,36.9
2023-06-12,36.1
2023-06-19,32.3
2023-06-26,33.3
2023-07-03,36.4
2023-07-10,38.6
2023-07-17,35.7
2023-07-24,36.4
2023-07-31,38.4
2023-08-07,37.9
2023-08-14,34.0
2023-08-21,33.5
2023-08-28,34.8
2023-09-04,37.2
2023-09-11,36.4
2023-09-18,33.5
2023-09-25,32.4
2023-10-02,39.2
2023-10-09,35.6
2023-10-16,31.7
2023-10-23,29.1
2023-10-30,29.6
2023-11-06,27.2
2023-11-13,22.0
2023-11-20,25.4
2023-11-27,25.6
2023-12-04,27.4
2023-12-11,19.6
2023-12-18,23.7
2023-12-25,17.2
2024-01-01,29.6
2024-01-08,24.9
2024-01-15,32.8
2024-01-22,32.9
2024-01-29,41.7
2024-02-05,44.9
2024-02-12,45.7
2024-02-19,44.8
2024-02-26,56.6
