zipcode,region,borough,two_months_ago,three_months_ago,num_increase,percent_increase
10030,NYC,Manhattan,65,1,64,6400
10022,NYC,Manhattan,45,1,44,4400
10469,NYC,Bronx,76,2,74,3700
11221,NYC,Brooklyn,37,1,36,3600
11375,NYC,Queens,36,1,35,3500
11105,NYC,Queens,31,1,30,3000
10012,NYC,Manhattan,17,1,16,1600
10044,NYC,Manhattan,23,2,21,1050
10463,NYC,Bronx,161,15,146,973
11980,Outside NYC,Outside NYC,10,1,9,900
