borough,region,two_months_ago,three_months_ago,num_increase,percent_increase
Staten Island,NYC,262,241,21,9
Outside NYC,Outside NYC,4156,4287,-131,-3
Bronx,NYC,3969,4194,-225,-5
Manhattan,NYC,2024,2259,-235,-10
Queens,NYC,1531,1890,-359,-19
Brooklyn,NYC,1322,2544,-1222,-48
