day,active_cases
2015-12-28,0
2016-01-04,127
2016-01-11,265
2016-01-18,346
2016-01-25,450
2016-02-01,583
2016-02-08,676
2016-02-15,847
2016-02-22,1000
2016-02-29,1120
2016-03-07,1227
2016-03-14,1333
2016-03-21,1455
2016-03-28,1543
2016-04-04,1637
2016-04-11,1743
2016-04-18,1830
2016-04-25,1938
2016-05-02,2031
2016-05-09,2141
2016-05-16,2223
2016-05-23,2322
2016-05-30,2396
2016-06-06,2502
2016-06-13,2624
2016-06-20,2726
2016-06-27,2832
2016-07-04,2914
2016-07-11,3051
2016-07-18,3188
2016-07-25,3280
2016-08-01,3373
2016-08-08,3510
2016-08-15,3615
2016-08-22,3713
2016-08-29,3796
2016-09-05,3881
2016-09-12,4003
2016-09-19,4140
2016-09-26,4256
2016-10-03,4371
2016-10-10,4476
2016-10-17,4609
2016-10-24,4684
2016-10-31,4797
2016-11-07,4912
2016-11-14,5051
2016-11-21,5167
2016-11-28,5285
2016-12-05,5424
2016-12-12,5543
2016-12-19,5652
2016-12-26,5734
2017-01-02,5802
2017-01-09,5920
2017-01-16,6023
2017-01-23,6148
2017-01-30,6287
2017-02-06,6425
2017-02-13,6536
2017-02-20,6636
2017-02-27,6734
2017-03-06,6842
2017-03-13,6931
2017-03-20,7040
2017-03-27,7133
2017-04-03,7255
2017-04-10,7360
2017-04-17,7433
2017-04-24,7527
2017-05-01,7615
2017-05-08,7723
2017-05-15,7806
2017-05-22,7896
2017-05-29,7961
2017-06-05,8071
2017-06-12,8170
2017-06-19,8258
2017-06-26,8357
2017-07-03,8404
2017-07-10,8548
2017-07-17,8653
2017-07-24,8746
2017-07-31,8836
2017-08-07,8979
2017-08-14,9064
2017-08-21,9157
2017-08-28,9243
2017-09-04,9328
2017-09-11,9434
2017-09-18,9539
2017-09-25,9631
2017-10-02,9730
2017-10-09,9828
2017-10-16,9971
2017-10-23,10066
2017-10-30,10172
2017-11-06,10283
2017-11-13,10405
2017-11-20,10465
2017-11-27,10542
2017-12-04,10663
2017-12-11,10774
2017-12-18,10913
2017-12-25,10981
2018-01-01,11095
2018-01-08,11282
2018-01-15,11441
2018-01-22,11609
2018-01-29,11775
2018-02-05,11978
2018-02-12,12162
2018-02-19,12288
2018-02-26,12419
2018-03-05,12649
2018-03-12,12800
2018-03-19,12920
2018-03-26,13071
2018-04-02,13257
2018-04-09,13427
2018-04-16,13546
2018-04-23,13646
2018-04-30,13839
2018-05-07,14029
2018-05-14,14159
2018-05-21,14284
2018-05-28,14383
2018-06-04,14596
2018-06-11,14773
2018-06-18,14929
2018-06-25,15061
2018-07-02,15179
2018-07-09,15404
2018-07-16,15599
2018-07-23,15764
2018-07-30,15929
2018-08-06,16119
2018-08-13,16293
2018-08-20,16466
2018-08-27,16602
2018-09-03,16745
2018-09-10,16913
2018-09-17,17068
2018-09-24,17204
2018-10-01,17381
2018-10-08,17554
2018-10-15,17748
2018-10-22,17884
2018-10-29,18052
2018-11-05,18273
2018-11-12,18423
2018-11-19,18584
2018-11-26,18711
2018-12-03,18918
2018-12-10,19124
2018-12-17,19334
2018-12-24,19426
2018-12-31,19563
2019-01-07,19770
2019-01-14,19946
2019-01-21,20092
2019-01-28,20221
2019-02-04,20427
2019-02-11,20596
2019-02-18,20733
2019-02-25,20888
2019-03-04,21055
2019-03-11,21240
2019-03-18,21394
2019-03-25,21508
2019-04-01,21700
2019-04-08,21859
2019-04-15,21992
2019-04-22,22137
2019-04-29,22292
2019-05-06,22495
2019-05-13,22688
2019-05-20,22832
2019-05-27,22928
2019-06-03,23115
2019-06-10,23277
2019-06-17,23403
2019-06-24,23473
2019-07-01,23550
2019-07-08,23652
2019-07-15,23777
2019-07-22,23849
2019-07-29,23990
2019-08-05,24163
2019-08-12,24363
2019-08-19,24551
2019-08-26,24751
2019-09-02,24945
2019-09-09,25153
2019-09-16,25379
2019-09-23,25588
2019-09-30,25823
2019-10-07,26055
2019-10-14,26280
2019-10-21,26498
2019-10-28,26758
2019-11-04,27004
2019-11-11,27206
2019-11-18,27489
2019-11-25,27684
2019-12-02,27966
2019-12-09,28284
2019-12-16,28583
2019-12-23,28724
2019-12-30,28902
2020-01-06,29255
2020-01-13,29626
2020-01-20,29930
2020-01-27,30235
2020-02-03,30634
2020-02-10,30964
2020-02-17,31316
2020-02-24,31702
2020-03-02,32237
2020-03-09,32578
2020-03-16,32781
2020-03-23,32781
2020-04-06,32781
2020-04-13,32783
2020-04-27,32783
2020-05-11,32783
2020-05-25,32783
2020-06-01,32783
2020-06-08,32783
2020-06-15,32783
2020-06-22,32785
2020-06-29,32788
2020-07-06,32804
2020-07-13,32853
2020-07-20,32900
2020-07-27,33005
2020-08-03,33075
2020-08-10,33179
2020-08-17,33308
2020-08-24,33526
2020-08-31,33705
2020-09-07,33846
2020-09-14,34016
2020-09-21,34200
2020-09-28,34360
2020-10-05,34553
2020-10-12,34718
2020-10-19,34907
2020-10-26,35141
2020-11-02,35435
2020-11-09,35651
2020-11-16,35872
2020-11-23,36050
2020-11-30,36247
2020-12-07,36416
2020-12-14,36671
2020-12-21,36895
2020-12-28,36944
2021-01-04,36959
2021-01-11,37021
2021-01-18,37070
2021-01-25,37115
2021-02-01,37166
2021-02-08,37315
2021-02-15,37448
2021-02-22,37712
2021-03-01,38034
2021-03-08,38298
2021-03-15,38510
2021-03-22,38943
2021-03-29,39386
2021-04-05,39873
2021-04-12,40245
2021-04-19,40667
2021-04-26,41138
2021-05-03,41566
2021-05-10,42207
2021-05-17,42764
2021-05-24,43291
2021-05-31,43672
2021-06-07,44224
2021-06-14,44690
2021-06-21,45133
2021-06-28,45577
2021-07-05,45894
2021-07-12,46260
2021-07-19,46703
2021-07-26,47126
2021-08-02,47467
2021-08-09,47838
2021-08-16,48313
2021-08-23,48854
2021-08-30,49177
2021-09-06,49261
2021-09-13,49461
2021-09-20,49701
2021-09-27,50004
2021-10-04,50314
2021-10-11,50743
2021-10-18,51081
2021-10-25,51337
2021-11-01,51666
2021-11-08,51991
2021-11-15,52342
2021-11-22,52607
2021-11-29,52967
2021-12-06,53318
2021-12-13,53644
2021-12-20,53900
2021-12-27,54242
2022-01-03,54502
2022-01-10,54961
2022-01-17,55385
2022-01-24,55885
2022-01-31,56377
2022-02-07,56946
2022-02-14,57543
2022-02-21,58195
2022-02-28,58765
2022-03-07,59515
2022-03-14,60325
2022-03-21,61041
2022-03-28,61778
2022-04-04,62512
2022-04-11,63265
2022-04-18,64136
2022-04-25,64916
2022-05-02,65704
2022-05-09,66584
2022-05-16,67378
2022-05-23,68105
2022-05-30,68722
2022-06-06,69729
2022-06-13,70417
2022-06-20,70957
2022-06-27,71899
2022-07-04,72563
2022-07-11,73297
2022-07-18,74241
2022-07-25,74897
2022-08-01,75593
2022-08-08,76316
2022-08-15,76887
2022-08-22,77346
2022-08-29,78010
2022-09-05,78604
2022-09-12,79278
2022-09-19,80022
2022-09-26,80635
2022-10-03,81273
2022-10-10,81971
2022-10-17,82581
2022-10-24,83180
2022-10-31,83898
2022-11-07,84572
2022-11-14,85152
2022-11-21,85627
2022-11-28,86358
2022-12-05,87026
2022-12-12,87681
2022-12-19,88393
2022-12-26,88970
2023-01-02,89504
2023-01-09,90471
2023-01-16,91166
2023-01-23,91877
2023-01-30,92477
2023-02-06,93107
2023-02-13,93680
2023-02-20,94256
2023-02-27,94956
2023-03-06,95742
2023-03-13,96481
2023-03-20,97186
2023-03-27,97865
2023-04-03,98407
2023-04-10,99137
2023-04-17,99916
2023-04-24,100726
2023-05-01,101609
2023-05-08,102259
2023-05-15,102877
2023-05-22,103582
2023-05-29,104313
2023-06-05,105142
2023-06-12,105859
2023-06-19,106537
2023-06-26,107330
2023-07-03,107982
2023-07-10,108879
2023-07-17,109603
2023-07-24,110334
2023-07-31,111235
2023-08-07,112084
2023-08-14,112917
2023-08-21,113609
2023-08-28,114450
2023-09-04,115285
2023-09-11,116240
2023-09-18,117190
2023-09-25,118065
2023-10-02,119024
2023-10-09,119946
2023-10-16,121220
2023-10-23,122326
2023-10-30,123461
2023-11-06,124909
2023-11-13,126259
2023-11-20,127089
2023-11-27,128592
2023-12-04,130367
2023-12-11,131985
2023-12-18,133372
2023-12-25,134626
2024-01-01,135992
2024-01-08,138001
2024-01-15,139644
2024-01-22,141278
2024-01-29,143049
2024-02-05,145198
2024-02-12,147199
2024-02-19,148924
2024-02-26,151083
2024-03-04,153567
2024-03-11,155912
2024-03-18,158250
2024-03-25,160482
2024-04-01,162519
2024-04-08,164891
2024-04-15,167048
2024-04-22,169125
2024-04-29,171500
2024-05-06,174338
2024-05-13,177396
2024-05-20,179254
2024-05-27,180033
