week_eviction,marshalevictions
2017-01-02,441
2017-01-09,438
2017-01-16,402
2017-01-23,379
2017-01-30,417
2017-02-06,202
2017-02-13,407
2017-02-20,351
2017-02-27,401
2017-03-06,426
2017-03-13,301
2017-03-20,427
2017-03-27,320
2017-04-03,417
2017-04-10,315
2017-04-17,399
2017-04-24,394
2017-05-01,429
2017-05-08,411
2017-05-15,379
2017-05-22,356
2017-05-29,245
2017-06-05,363
2017-06-12,398
2017-06-19,372
2017-06-26,349
2017-07-03,238
2017-07-10,320
2017-07-17,378
2017-07-24,333
2017-07-31,349
2017-08-07,347
2017-08-14,427
2017-08-21,368
2017-08-28,298
2017-09-04,298
2017-09-11,399
2017-09-18,348
2017-09-25,365
2017-10-02,363
2017-10-09,324
2017-10-16,403
2017-10-23,389
2017-10-30,370
2017-11-06,214
2017-11-13,389
2017-11-20,280
2017-11-27,414
2017-12-04,393
2017-12-11,424
2017-12-18,175
2018-01-01,145
2018-01-08,610
2018-01-15,359
2018-01-22,438
2018-01-29,414
2018-02-05,390
2018-02-12,310
2018-02-19,362
2018-02-26,353
2018-03-05,341
2018-03-12,408
2018-03-19,311
2018-03-26,354
2018-04-02,310
2018-04-09,377
2018-04-16,398
2018-04-23,364
2018-04-30,403
2018-05-07,406
2018-05-14,398
2018-05-21,390
2018-05-28,312
2018-06-04,317
2018-06-11,370
2018-06-18,356
2018-06-25,346
2018-07-02,237
2018-07-09,328
2018-07-16,397
2018-07-23,374
2018-07-30,312
2018-08-06,351
2018-08-13,359
2018-08-20,351
2018-08-27,331
2018-09-03,284
2018-09-10,315
2018-09-17,358
2018-09-24,300
2018-10-01,305
2018-10-08,286
2018-10-15,328
2018-10-22,321
2018-10-29,318
2018-11-05,250
2018-11-12,245
2018-11-19,227
2018-11-26,333
2018-12-03,315
2018-12-10,364
2018-12-17,255
2018-12-31,250
2019-01-07,439
2019-01-14,379
2019-01-21,291
2019-01-28,333
2019-02-04,358
2019-02-11,300
2019-02-18,288
2019-02-25,356
2019-03-04,307
2019-03-11,323
2019-03-18,363
2019-03-25,290
2019-04-01,306
2019-04-08,342
2019-04-15,313
2019-04-22,273
2019-04-29,328
2019-05-06,308
2019-05-13,366
2019-05-20,285
2019-05-27,253
2019-06-03,321
2019-06-10,347
2019-06-17,312
2019-06-24,286
2019-07-01,182
2019-07-08,358
2019-07-15,304
2019-07-22,324
2019-07-29,253
2019-08-05,265
2019-08-12,306
2019-08-19,299
2019-08-26,266
2019-09-02,240
2019-09-09,248
2019-09-16,291
2019-09-23,294
2019-09-30,269
2019-10-07,207
2019-10-14,201
2019-10-21,263
2019-10-28,251
2019-11-04,204
2019-11-11,181
2019-11-18,304
2019-11-25,169
2019-12-02,296
2019-12-09,239
2019-12-16,210
2019-12-30,117
2020-01-06,365
2020-01-13,247
2020-01-20,261
2020-01-27,265
2020-02-03,202
2020-02-10,243
2020-02-17,234
2020-02-24,245
2020-03-02,235
2020-03-09,233
2020-11-16,1
2020-11-23,1
2020-11-30,2
2020-12-07,3
2020-12-14,1
2021-04-05,1
2021-04-26,1
2021-05-03,1
2021-05-17,1
2021-05-24,2
2021-05-31,1
2021-06-07,1
2021-06-21,4
2021-06-28,5
2021-07-05,5
2021-07-12,8
2021-07-19,1
2021-07-26,7
2021-08-02,8
2021-08-09,6
2021-08-16,5
2021-08-23,5
2021-08-30,9
2021-10-18,3
2021-10-25,6
2021-11-01,3
2021-11-08,7
2021-11-15,8
2021-11-22,3
2021-12-06,8
2021-12-13,8
2021-12-20,3
2021-12-27,3
2022-01-03,38
2022-01-10,26
2022-01-17,9
2022-01-24,13
2022-01-31,25
2022-02-07,37
2022-02-14,35
2022-02-21,25
2022-02-28,35
2022-03-07,36
2022-03-14,25
2022-03-21,59
2022-03-28,51
2022-04-04,59
2022-04-11,44
2022-04-18,48
2022-04-25,47
2022-05-02,60
2022-05-09,63
2022-05-16,71
2022-05-23,74
2022-05-30,69
2022-06-06,54
2022-06-13,53
2022-06-20,77
2022-06-27,61
2022-07-04,73
2022-07-11,58
2022-07-18,78
2022-07-25,74
2022-08-01,76
2022-08-08,85
2022-08-15,86
2022-08-22,75
2022-08-29,67
2022-09-05,85
2022-09-12,62
2022-09-19,91
2022-09-26,103
2022-10-03,137
2022-10-10,114
2022-10-17,119
2022-10-24,110
2022-10-31,147
2022-11-07,115
2022-11-14,165
2022-11-21,103
2022-11-28,162
2022-12-05,127
2022-12-12,95
2022-12-19,58
2022-12-26,8
2023-01-02,242
2023-01-09,174
2023-01-16,116
2023-01-23,170
2023-01-30,151
2023-02-06,148
2023-02-13,138
2023-02-20,123
2023-02-27,199
2023-03-06,133
2023-03-13,147
2023-03-20,178
2023-03-27,161
2023-04-03,167
2023-04-10,141
2023-04-17,165
2023-04-24,156
2023-05-01,172
2023-05-08,160
2023-05-15,225
2023-05-22,210
2023-05-29,206
2023-06-05,225
2023-06-12,276
2023-06-19,214
2023-06-26,290
2023-07-03,217
2023-07-10,269
2023-07-17,206
2023-07-24,224
2023-07-31,266
2023-08-07,227
2023-08-14,254
2023-08-21,271
2023-08-28,269
2023-09-04,222
2023-09-11,266
2023-09-18,251
2023-09-25,213
2023-10-02,263
2023-10-09,285
2023-10-16,286
2023-10-23,256
2023-10-30,264
2023-11-06,171
2023-11-13,286
2023-11-20,155
2023-11-27,292
2023-12-04,291
2023-12-11,274
2023-12-18,104
2023-12-25,12
2024-01-01,292
2024-01-08,265
2024-01-15,201
2024-01-22,309
2024-01-29,287
2024-02-05,286
2024-02-12,227
2024-02-19,213
2024-02-26,306
2024-03-04,266
2024-03-11,237
2024-03-18,188
2024-03-25,196
2024-04-01,231
2024-04-08,236
2024-04-15,268
2024-04-22,194
2024-04-29,205
2024-05-06,263
2024-05-13,222
2024-05-20,238
2024-05-27,198
2024-06-03,46
