zipcode,filings_since_032320,unitsres_total,unitsrental,filingsrate_2plus
00000,119,,,
01042,1,,,
07731,1,,,
10001,1095,23099,23073,47
10002,1801,36923,36916,48
10003,829,34095,34034,24
10004,86,4187,4187,20
10005,361,6135,6135,58
10006,122,3219,3219,37
10007,87,4594,4566,19
10009,1258,33863,33856,37
10010,466,20031,20026,23
10011,1024,34353,34201,29
10012,418,15228,15209,27
10013,441,19934,19893,22
10014,680,22878,22611,30
10016,1206,46027,45976,26
10017,328,13729,13706,23
10018,527,7536,7536,69
10019,1919,39075,39070,49
10021,684,30836,30641,22
10022,646,27891,27837,23
10023,1046,44070,43992,23
10024,993,37150,37016,26
10025,2675,48257,48193,55
10026,2883,15392,15373,187
10027,2974,28683,28593,104
10028,826,30517,30376,27
10029,3333,35142,35120,94
10030,3237,32236,32101,100
10031,4729,22149,22030,214
10032,4363,22489,22455,194
10033,3499,20323,20314,172
10034,3296,15812,15803,208
10035,2709,17744,17721,152
10036,1818,36921,36915,49
10037,2241,11084,11077,202
10038,486,14930,14927,32
10039,3039,11733,11732,259
10040,3239,16083,16081,201
10041,1,,,
10044,333,11951,11951,27
10065,641,22961,22750,28
10069,96,4726,4726,20
10075,403,18291,18196,22
10112,1,,,
10126,1,,,
10128,1063,35856,35627,29
10162,32,,,
10176,1,0,0,
10280,245,4873,4873,50
10282,66,3476,3476,18
10301,1535,16430,12460,123
10302,410,6403,4073,100
10303,879,8456,5171,169
10304,1563,16063,9894,157
10305,492,15383,8819,55
10306,731,21631,9971,73
10307,86,5445,3191,26
10308,160,10487,4681,34
10309,179,12576,7406,24
10310,503,8897,5138,97
10312,263,22584,9297,28
10314,702,32556,19792,35
10362,1,,,
10373,1,,,
10402,1,,,
10411,1,,,
10450,2,,,
10451,5959,21375,21328,279
10452,10386,28291,28221,368
10453,11349,33545,33386,339
10454,3300,15600,15395,214
10455,4117,17360,17224,239
10456,10018,33063,32778,305
10457,10164,29899,29584,343
10458,9912,29560,29338,337
10459,5861,19164,18817,311
10460,7499,23840,23607,317
10461,1900,20297,18125,104
10462,6839,32348,31662,216
10463,3977,31371,30624,129
10464,68,2172,1319,51
10465,599,16083,12289,48
10466,3796,23746,20972,181
10467,10673,47999,47433,225
10468,9912,26547,26335,376
10469,2633,22403,18118,145
10470,911,6621,5936,153
10471,634,10220,8953,70
10472,4205,22272,21915,191
10473,2682,22742,21415,125
10474,1334,4071,4066,328
10475,902,17516,17352,51
10476,4,,,
10528,1,,,
10542,1,,,
10543,1,,,
10546,1,,,
10553,1,,,
10554,1,,,
10555,1,,,
10568,2,,,
10704,1,,,
11001,27,1443,456,59
11003,2,,,
11004,109,5006,2768,39
11005,1,1844,1844,0
11021,3,,,
11023,1,,,
11027,1,,,
11040,8,975,452,17
11042,3,,,
