zipcode,region,borough,two_months_ago,three_months_ago,num_increase,percent_increase
10458,NYC,Bronx,267,1,266,26600
11375,NYC,Queens,53,1,52,5200
10461,NYC,Bronx,45,1,44,4400
14779,Outside NYC,Outside NYC,11,1,10,1000
11767,Outside NYC,Outside NYC,8,1,7,700
11713,Outside NYC,Outside NYC,35,5,30,600
11366,NYC,Queens,7,1,6,600
11758,Outside NYC,Outside NYC,11,2,9,450
11363,NYC,Queens,5,1,4,400
14202,Outside NYC,Outside NYC,15,3,12,400
