week_eviction,marshalevictions
2017-01-02,442
2017-01-09,436
2017-01-16,409
2017-01-23,386
2017-01-30,415
2017-02-06,201
2017-02-13,403
2017-02-20,353
2017-02-27,403
2017-03-06,422
2017-03-13,300
2017-03-20,429
2017-03-27,317
2017-04-03,412
2017-04-10,314
2017-04-17,396
2017-04-24,387
2017-05-01,427
2017-05-08,406
2017-05-15,376
2017-05-22,356
2017-05-29,245
2017-06-05,363
2017-06-12,396
2017-06-19,360
2017-06-26,359
2017-07-03,239
2017-07-10,321
2017-07-17,380
2017-07-24,330
2017-07-31,345
2017-08-07,348
2017-08-14,421
2017-08-21,372
2017-08-28,300
2017-09-04,303
2017-09-11,401
2017-09-18,348
2017-09-25,366
2017-10-02,364
2017-10-09,325
2017-10-16,406
2017-10-23,392
2017-10-30,368
2017-11-06,217
2017-11-13,394
2017-11-20,282
2017-11-27,422
2017-12-04,387
2017-12-11,423
2017-12-18,178
2018-01-01,146
2018-01-08,610
2018-01-15,353
2018-01-22,438
2018-01-29,406
2018-02-05,386
2018-02-12,308
2018-02-19,364
2018-02-26,350
2018-03-05,342
2018-03-12,404
2018-03-19,311
2018-03-26,363
2018-04-02,314
2018-04-09,378
2018-04-16,404
2018-04-23,363
2018-04-30,402
2018-05-07,406
2018-05-14,394
2018-05-21,385
2018-05-28,317
2018-06-04,321
2018-06-11,367
2018-06-18,355
2018-06-25,348
2018-07-02,239
2018-07-09,325
2018-07-16,400
2018-07-23,374
2018-07-30,313
2018-08-06,349
2018-08-13,364
2018-08-20,352
2018-08-27,334
2018-09-03,290
2018-09-10,311
2018-09-17,353
2018-09-24,301
2018-10-01,305
2018-10-08,284
2018-10-15,323
2018-10-22,322
2018-10-29,314
2018-11-05,248
2018-11-12,241
2018-11-19,228
2018-11-26,332
2018-12-03,314
2018-12-10,367
2018-12-17,256
2018-12-31,249
2019-01-07,440
2019-01-14,379
2019-01-21,296
2019-01-28,333
2019-02-04,364
2019-02-11,302
2019-02-18,284
2019-02-25,363
2019-03-04,300
2019-03-11,323
2019-03-18,360
2019-03-25,292
2019-04-01,307
2019-04-08,334
2019-04-15,314
2019-04-22,278
2019-04-29,336
2019-05-06,310
2019-05-13,368
2019-05-20,281
2019-05-27,253
2019-06-03,323
2019-06-10,346
2019-06-17,313
2019-06-24,284
2019-07-01,183
2019-07-08,357
2019-07-15,305
2019-07-22,325
2019-07-29,254
2019-08-05,259
2019-08-12,303
2019-08-19,301
2019-08-26,266
2019-09-02,243
2019-09-09,252
2019-09-16,291
2019-09-23,296
2019-09-30,272
2019-10-07,210
2019-10-14,204
2019-10-21,261
2019-10-28,250
2019-11-04,202
2019-11-11,181
2019-11-18,301
2019-11-25,167
2019-12-02,291
2019-12-09,240
2019-12-16,207
2019-12-30,119
2020-01-06,366
2020-01-13,248
2020-01-20,262
2020-01-27,264
2020-02-03,202
2020-02-10,248
2020-02-17,238
2020-02-24,246
2020-03-02,233
2020-03-09,233
2020-11-16,1
2020-11-23,1
2020-11-30,2
2020-12-07,3
2020-12-14,1
2021-04-05,1
2021-04-26,1
2021-05-03,1
2021-05-17,1
2021-05-24,2
2021-05-31,1
2021-06-07,1
2021-06-21,4
2021-06-28,5
2021-07-05,5
2021-07-12,8
2021-07-19,1
2021-07-26,7
2021-08-02,8
2021-08-09,5
2021-08-16,5
2021-08-23,5
2021-08-30,9
2021-10-18,3
2021-10-25,6
2021-11-01,3
2021-11-08,7
2021-11-15,8
2021-11-22,3
2021-12-06,8
2021-12-13,8
2021-12-20,3
2021-12-27,2
2022-01-03,37
2022-01-10,26
2022-01-17,11
2022-01-24,14
2022-01-31,26
2022-02-07,36
2022-02-14,35
2022-02-21,23
2022-02-28,35
2022-03-07,36
2022-03-14,27
2022-03-21,58
2022-03-28,52
2022-04-04,59
2022-04-11,46
2022-04-18,48
2022-04-25,46
2022-05-02,60
2022-05-09,62
2022-05-16,72
2022-05-23,73
2022-05-30,71
2022-06-06,55
2022-06-13,53
2022-06-20,77
2022-06-27,60
2022-07-04,74
2022-07-11,59
2022-07-18,78
2022-07-25,74
2022-08-01,74
2022-08-08,82
2022-08-15,89
2022-08-22,76
2022-08-29,68
2022-09-05,84
2022-09-12,60
2022-09-19,91
2022-09-26,105
2022-10-03,138
2022-10-10,118
2022-10-17,116
2022-10-24,110
2022-10-31,149
2022-11-07,113
2022-11-14,166
2022-11-21,105
2022-11-28,164
2022-12-05,125
2022-12-12,95
2022-12-19,56
2022-12-26,8
2023-01-02,244
2023-01-09,169
2023-01-16,115
2023-01-23,175
2023-01-30,152
2023-02-06,148
2023-02-13,143
2023-02-20,124
2023-02-27,197
2023-03-06,132
2023-03-13,151
2023-03-20,176
2023-03-27,161
2023-04-03,168
2023-04-10,144
2023-04-17,165
2023-04-24,158
2023-05-01,173
2023-05-08,165
2023-05-15,226
2023-05-22,207
2023-05-29,206
2023-06-05,232
2023-06-12,278
2023-06-19,224
2023-06-26,292
2023-07-03,217
2023-07-10,270
2023-07-17,212
2023-07-24,228
2023-07-31,272
2023-08-07,228
2023-08-14,253
2023-08-21,278
2023-08-28,272
2023-09-04,217
2023-09-11,273
2023-09-18,256
2023-09-25,217
2023-10-02,266
2023-10-09,292
2023-10-16,288
2023-10-23,263
2023-10-30,48
